Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Seattle,Weekly,"2020-01-26 00:00:00","Conventional ",1.290000000,590965.00,78190.01,68457.19,509.05,443808.75,266128.82,177129.42,550.51
Seattle,Weekly,"2020-01-19 00:00:00","Conventional ",1.140000000,692560.66,76662.18,89966.85,1568.13,524363.50,301806.86,222138.76,417.88
Seattle,Weekly,"2020-01-12 00:00:00","Conventional ",1.300000000,804411.53,73007.54,132163.39,1514.24,597726.36,255448.37,341765.39,512.60
Seattle,Weekly,"2020-01-05 00:00:00","Conventional ",1.240000000,747999.68,72422.61,102444.37,1259.12,571873.58,259590.57,310894.43,1388.58
"South Carolina",Weekly,"2020-01-26 00:00:00","Conventional ",0.980000000,538876.13,230536.37,45162.59,1659.94,261517.23,169335.29,91637.58,544.36
"South Carolina",Weekly,"2020-01-19 00:00:00","Conventional ",0.930000000,567618.45,232085.61,44554.61,1669.07,289309.16,206891.28,81906.64,511.24
"South Carolina",Weekly,"2020-01-12 00:00:00","Conventional ",0.970000000,532531.30,207443.79,50098.42,1718.33,273270.76,203612.47,69021.63,636.66
"South Carolina",Weekly,"2020-01-05 00:00:00","Conventional ",0.940000000,524843.87,218942.90,49044.57,1976.57,254879.83,181382.18,72919.47,578.18
"South Central",Weekly,"2020-01-26 00:00:00","Conventional ",0.740000000,7604293.71,3274193.28,733216.67,114494.03,3482389.73,2262456.00,1122078.83,97854.90
"South Central",Weekly,"2020-01-19 00:00:00","Conventional ",0.710000000,7842400.44,3150293.39,940332.89,114453.82,3637320.34,2424268.35,1118513.15,94538.84
"South Central",Weekly,"2020-01-12 00:00:00","Conventional ",0.760000000,7817259.43,3140424.45,960514.54,116391.72,3599928.72,1977884.57,1531260.37,90783.78
"South Central",Weekly,"2020-01-05 00:00:00","Conventional ",0.760000000,7369854.16,3160394.08,1100031.65,119381.44,2990046.99,1833627.20,1076354.50,80065.29
Southeast,Weekly,"2020-01-26 00:00:00","Conventional ",0.910000000,6644847.77,2854105.63,267083.74,24291.37,3499367.03,1511513.93,1976054.08,11799.02
Southeast,Weekly,"2020-01-19 00:00:00","Conventional ",0.890000000,6618860.55,2869057.07,250687.67,27320.35,3471795.46,1624405.70,1822633.73,24756.03
Southeast,Weekly,"2020-01-12 00:00:00","Conventional ",0.900000000,6501470.18,2676011.65,262363.37,21512.79,3541582.37,1645930.79,1884309.58,11342.00
Southeast,Weekly,"2020-01-05 00:00:00","Conventional ",0.890000000,6509409.44,2671177.17,260412.62,24024.40,3553795.25,1572503.02,1972748.21,8544.02
Spokane,Weekly,"2020-01-26 00:00:00","Conventional ",1.100000000,108653.22,19688.35,10064.09,36.24,78864.54,51649.32,27165.28,49.94
Spokane,Weekly,"2020-01-19 00:00:00","Conventional ",0.960000000,120472.58,18065.10,12686.28,87.14,89634.06,57008.38,32566.23,59.45
Spokane,Weekly,"2020-01-12 00:00:00","Conventional ",1.110000000,121910.14,17230.22,16545.99,113.30,88020.63,46850.74,41117.35,52.54
Spokane,Weekly,"2020-01-05 00:00:00","Conventional ",1.030000000,117502.84,18331.54,14483.83,113.94,84573.53,41424.03,43093.33,56.17
"St. Louis",Weekly,"2020-01-26 00:00:00","Conventional ",1.150000000,214579.42,94993.52,10971.76,262.39,108351.75,92014.60,8526.64,7810.51
"St. Louis",Weekly,"2020-01-19 00:00:00","Conventional ",1.170000000,191237.93,83907.77,10628.57,830.55,95871.04,83427.42,6680.39,5763.23
"St. Louis",Weekly,"2020-01-12 00:00:00","Conventional ",1.130000000,198308.63,99654.91,9757.81,631.77,88264.14,72845.39,6835.60,8583.15
"St. Louis",Weekly,"2020-01-05 00:00:00","Conventional ",1.010000000,223047.22,116196.20,9039.14,608.48,97203.40,88890.39,1919.68,6393.33
Syracuse,Weekly,"2020-01-26 00:00:00","Conventional ",1.020000000,104440.05,3398.34,41258.17,114.00,59669.54,23117.72,34716.26,1835.56
Syracuse,Weekly,"2020-01-19 00:00:00","Conventional ",1.030000000,112245.09,3956.36,53402.15,125.00,54761.58,22242.92,31043.11,1475.55
Syracuse,Weekly,"2020-01-12 00:00:00","Conventional ",0.990000000,102508.91,3486.36,47438.09,74.00,51510.46,32655.35,17055.11,1800.00
Syracuse,Weekly,"2020-01-05 00:00:00","Conventional ",1.050000000,105873.63,3971.33,64966.36,77.50,36858.44,12854.24,22603.09,1401.11
Tampa,Weekly,"2020-01-26 00:00:00","Conventional ",0.880000000,784980.23,288577.35,24114.87,3208.34,469079.67,129017.51,339682.16,380.00
Tampa,Weekly,"2020-01-19 00:00:00","Conventional ",0.870000000,793065.51,312527.84,21433.87,3596.41,455507.39,131903.20,316977.53,6626.66
Tampa,Weekly,"2020-01-12 00:00:00","Conventional ",0.890000000,739108.24,265846.04,20670.83,2238.00,450353.37,101732.85,348620.52,0.00
Tampa,Weekly,"2020-01-05 00:00:00","Conventional ",0.870000000,775191.50,268346.69,21272.19,3442.82,482129.80,105418.60,376708.18,3.02
"Total U.S.",Weekly,"2020-01-26 00:00:00","Conventional ",1.010000000,43938472.70,12635230.46,7658265.98,611401.15,23032151.89,13202402.01,9280522.43,549227.45
"Total U.S.",Weekly,"2020-01-19 00:00:00","Conventional ",0.930000000,48534972.05,13102979.33,10072454.62,949386.10,24408696.44,13606025.69,10056820.22,745850.53
"Total U.S.",Weekly,"2020-01-12 00:00:00","Conventional ",0.970000000,46524778.83,13223759.25,8444074.44,627869.92,24227623.24,13241643.55,10377040.43,608939.26
"Total U.S.",Weekly,"2020-01-05 00:00:00","Conventional ",0.970000000,46310705.72,13036248.61,10416874.46,845596.08,22010551.97,11649671.54,9670934.96,689945.47
West,Weekly,"2020-01-26 00:00:00","Conventional ",1.030000000,7098259.39,1636537.79,1025561.51,44906.90,4391253.19,2150770.93,2146341.06,94141.20
West,Weekly,"2020-01-19 00:00:00","Conventional ",0.840000000,8909723.64,1858611.44,1539495.38,47106.46,5464510.36,2449996.84,2930956.20,83557.32
West,Weekly,"2020-01-12 00:00:00","Conventional ",0.950000000,8342303.66,1977859.92,1139513.99,49895.57,5175034.18,2047545.41,3027684.69,99804.08
West,Weekly,"2020-01-05 00:00:00","Conventional ",0.940000000,8218538.09,1727612.58,1234982.58,51849.45,5204093.48,1928928.76,3207217.50,67947.22
"West Tex/New Mexico",Weekly,"2020-01-26 00:00:00","Conventional ",0.880000000,915939.36,386133.61,59456.57,63762.77,406586.41,271875.34,133947.66,763.41
"West Tex/New Mexico",Weekly,"2020-01-19 00:00:00","Conventional ",0.790000000,1047282.64,377986.92,107342.01,62648.36,499305.35,256715.20,241676.60,913.55
"West Tex/New Mexico",Weekly,"2020-01-12 00:00:00","Conventional ",0.830000000,1036010.46,363081.94,62107.29,62042.89,548778.34,264735.78,282487.62,1554.94
"West Tex/New Mexico",Weekly,"2020-01-05 00:00:00","Conventional ",0.880000000,893503.74,379712.27,64232.94,63749.67,385808.86,243487.35,141191.30,1130.21
Albany,Weekly,"2020-01-26 00:00:00",Organic,1.550000000,2903.36,116.26,272.80,0.00,2514.30,1458.83,1055.47,0.00
Albany,Weekly,"2020-01-19 00:00:00",Organic,1.510000000,2558.84,422.70,230.23,0.00,1905.91,889.44,1016.47,0.00
Albany,Weekly,"2020-01-12 00:00:00",Organic,1.480000000,2441.56,25.89,209.19,0.00,2206.48,974.05,1232.43,0.00
Albany,Weekly,"2020-01-05 00:00:00",Organic,1.470000000,2152.91,20.57,192.36,0.00,1939.98,1024.54,915.44,0.00
Atlanta,Weekly,"2020-01-26 00:00:00",Organic,1.300000000,35831.03,145.01,3559.30,0.00,32126.72,24631.52,7495.20,0.00
Atlanta,Weekly,"2020-01-19 00:00:00",Organic,1.170000000,33132.53,88.24,4575.57,0.00,28468.72,14435.25,14033.47,0.00
Atlanta,Weekly,"2020-01-12 00:00:00",Organic,1.230000000,37789.06,165.65,4420.06,0.00,33203.35,17844.09,15359.26,0.00
Atlanta,Weekly,"2020-01-05 00:00:00",Organic,1.330000000,30540.92,104.01,3734.17,0.00,26702.74,14142.49,12560.25,0.00
Baltimore/Washington,Weekly,"2020-01-26 00:00:00",Organic,1.180000000,56441.76,249.48,3815.77,3.98,52372.53,51627.99,744.54,0.00
Baltimore/Washington,Weekly,"2020-01-19 00:00:00",Organic,1.120000000,54481.45,422.62,4339.01,15.89,49703.93,49222.29,481.64,0.00
Baltimore/Washington,Weekly,"2020-01-12 00:00:00",Organic,1.240000000,47889.12,233.32,3970.32,18.59,43666.89,42666.78,1000.11,0.00
Baltimore/Washington,Weekly,"2020-01-05 00:00:00",Organic,1.360000000,40369.81,297.61,4101.04,10.59,35960.57,33900.82,2059.75,0.00
Boise,Weekly,"2020-01-26 00:00:00",Organic,1.620000000,3605.88,1.35,850.90,0.00,2753.63,1549.73,1182.89,21.01
Boise,Weekly,"2020-01-19 00:00:00",Organic,1.480000000,3442.53,0.00,475.22,0.00,2967.31,961.44,2002.88,2.99
Boise,Weekly,"2020-01-12 00:00:00",Organic,1.620000000,4308.86,6.69,599.67,0.00,3702.50,2173.57,1528.93,0.00
Boise,Weekly,"2020-01-05 00:00:00",Organic,1.950000000,5494.54,2.67,583.05,0.00,4908.82,4188.36,720.46,0.00
Boston,Weekly,"2020-01-26 00:00:00",Organic,1.700000000,26924.97,915.01,1539.80,0.00,24470.16,21847.35,2622.81,0.00
Boston,Weekly,"2020-01-19 00:00:00",Organic,1.750000000,24722.07,105.20,1574.12,0.00,23042.75,17754.72,5288.03,0.00
Boston,Weekly,"2020-01-12 00:00:00",Organic,1.610000000,26799.10,45.08,1420.61,0.00,25333.41,19780.82,5552.59,0.00
Boston,Weekly,"2020-01-05 00:00:00",Organic,1.700000000,23220.06,100.46,1850.27,0.00,21269.33,15568.07,5701.26,0.00
Buffalo/Rochester,Weekly,"2020-01-26 00:00:00",Organic,1.310000000,9885.01,414.89,142.72,0.00,9327.40,5018.91,4308.49,0.00
Buffalo/Rochester,Weekly,"2020-01-19 00:00:00",Organic,1.240000000,11212.74,450.39,154.48,0.00,10607.87,2266.55,8341.32,0.00
Buffalo/Rochester,Weekly,"2020-01-12 00:00:00",Organic,1.130000000,11568.34,589.81,175.08,0.00,10803.45,2515.19,8288.26,0.00
Buffalo/Rochester,Weekly,"2020-01-05 00:00:00",Organic,1.130000000,12334.86,463.19,186.86,0.00,11684.81,2618.03,9066.78,0.00
California,Weekly,"2020-01-26 00:00:00",Organic,1.750000000,290987.46,20259.32,14072.51,0.00,256655.63,219141.89,37513.74,0.00
California,Weekly,"2020-01-19 00:00:00",Organic,1.840000000,320402.89,27195.67,15838.31,1.61,277367.30,221205.50,56161.80,0.00
California,Weekly,"2020-01-12 00:00:00",Organic,1.830000000,316541.21,29175.55,16856.82,0.00,270508.84,212195.56,58313.28,0.00
California,Weekly,"2020-01-05 00:00:00",Organic,1.710000000,293342.89,24387.15,16999.51,0.00,251956.23,210545.95,41410.28,0.00
Charlotte,Weekly,"2020-01-26 00:00:00",Organic,1.680000000,14841.13,173.46,3983.25,67.46,10616.96,7445.83,3171.13,0.00
Charlotte,Weekly,"2020-01-19 00:00:00",Organic,1.600000000,14710.80,128.78,3690.57,59.34,10832.11,4325.76,6506.35,0.00
Charlotte,Weekly,"2020-01-12 00:00:00",Organic,1.660000000,13131.17,13.35,3780.85,71.86,9265.11,4520.35,4744.76,0.00
Charlotte,Weekly,"2020-01-05 00:00:00",Organic,1.500000000,17694.92,13.50,3954.94,39.99,13686.49,6703.19,6983.30,0.00
Chicago,Weekly,"2020-01-26 00:00:00",Organic,1.520000000,19211.02,328.59,4606.77,0.00,14275.66,14083.07,192.59,0.00
Chicago,Weekly,"2020-01-19 00:00:00",Organic,1.510000000,68483.87,1157.38,8004.70,0.00,59302.48,58845.79,456.69,0.00
Chicago,Weekly,"2020-01-12 00:00:00",Organic,1.540000000,111494.93,1927.63,14216.71,0.00,95350.59,91791.56,3559.03,0.00
Chicago,Weekly,"2020-01-05 00:00:00",Organic,1.110000000,126287.98,2199.43,29062.22,0.00,95026.33,90095.37,4930.96,0.00
Cincinnati/Dayton,Weekly,"2020-01-26 00:00:00",Organic,1.260000000,25846.73,85.86,2160.98,0.00,23599.89,17080.55,6519.34,0.00
Cincinnati/Dayton,Weekly,"2020-01-19 00:00:00",Organic,1.090000000,35235.94,113.40,2681.76,0.00,32440.78,19056.77,13384.01,0.00
Cincinnati/Dayton,Weekly,"2020-01-12 00:00:00",Organic,1.080000000,24158.49,119.21,3448.59,0.00,20590.69,5940.61,14650.08,0.00
Cincinnati/Dayton,Weekly,"2020-01-05 00:00:00",Organic,1.200000000,19579.10,81.88,3376.36,0.00,16120.86,2181.13,13939.73,0.00
Columbus,Weekly,"2020-01-26 00:00:00",Organic,1.070000000,24200.19,455.64,952.36,0.00,22792.19,19513.10,3279.09,0.00
Columbus,Weekly,"2020-01-19 00:00:00",Organic,0.960000000,17676.94,655.34,1362.19,0.00,15659.41,11806.52,3852.89,0.00
Columbus,Weekly,"2020-01-12 00:00:00",Organic,1.170000000,17117.41,442.75,1891.56,0.00,14783.10,7839.49,6943.61,0.00
Columbus,Weekly,"2020-01-05 00:00:00",Organic,1.190000000,15200.51,571.06,1526.58,0.00,13102.87,6368.04,6734.83,0.00
"Dallas/Ft. Worth",Weekly,"2020-01-26 00:00:00",Organic,1.230000000,36624.89,5398.90,48.44,316.37,30861.18,17788.01,13073.17,0.00
"Dallas/Ft. Worth",Weekly,"2020-01-19 00:00:00",Organic,1.270000000,37051.88,3837.75,64.37,353.87,32795.89,20772.56,12023.33,0.00
"Dallas/Ft. Worth",Weekly,"2020-01-12 00:00:00",Organic,1.290000000,37496.97,3554.67,76.76,350.79,33514.75,21078.08,12436.67,0.00
"Dallas/Ft. Worth",Weekly,"2020-01-05 00:00:00",Organic,1.250000000,33244.00,3355.85,62.46,248.38,29577.31,19540.64,10036.67,0.00
Denver,Weekly,"2020-01-26 00:00:00",Organic,1.220000000,66422.11,8719.15,1736.76,0.00,55966.20,55721.51,244.69,0.00
Denver,Weekly,"2020-01-19 00:00:00",Organic,0.940000000,184687.76,33617.38,2664.95,0.00,148405.43,147640.43,765.00,0.00
Denver,Weekly,"2020-01-12 00:00:00",Organic,1.050000000,175557.89,29102.47,2712.47,7.10,143735.85,143030.68,705.17,0.00
Denver,Weekly,"2020-01-05 00:00:00",Organic,1.500000000,37216.76,7909.30,1285.84,11.81,28009.81,27916.66,93.15,0.00
Detroit,Weekly,"2020-01-26 00:00:00",Organic,1.150000000,30744.51,441.25,2112.02,0.00,28191.24,21986.87,6204.37,0.00
Detroit,Weekly,"2020-01-19 00:00:00",Organic,0.980000000,37159.25,768.78,2462.57,0.00,33927.90,25492.45,8435.45,0.00
Detroit,Weekly,"2020-01-12 00:00:00",Organic,1.350000000,34817.30,1652.65,4019.23,0.00,29142.49,12863.85,16278.64,0.00
Detroit,Weekly,"2020-01-05 00:00:00",Organic,1.310000000,32078.09,353.52,4662.66,0.00,27061.91,11217.28,15844.63,0.00
"Grand Rapids",Weekly,"2020-01-26 00:00:00",Organic,0.850000000,17958.91,14.12,1081.36,0.00,16863.43,16857.16,6.27,0.00
"Grand Rapids",Weekly,"2020-01-19 00:00:00",Organic,1.260000000,6001.24,2.00,992.33,0.00,5006.91,4914.64,92.27,0.00
"Grand Rapids",Weekly,"2020-01-12 00:00:00",Organic,1.240000000,8352.56,10.87,1585.57,0.00,6756.12,6712.27,43.85,0.00
"Grand Rapids",Weekly,"2020-01-05 00:00:00",Organic,1.260000000,8158.28,11.46,2190.09,0.00,5956.73,5878.39,78.34,0.00
"Great Lakes",Weekly,"2020-01-26 00:00:00",Organic,1.160000000,237532.71,4135.70,17574.93,0.00,215806.89,184643.00,31163.89,0.00
"Great Lakes",Weekly,"2020-01-19 00:00:00",Organic,1.180000000,280264.36,8031.67,23300.86,78.76,248798.30,203024.91,45773.39,0.00
"Great Lakes",Weekly,"2020-01-12 00:00:00",Organic,1.340000000,300004.17,7315.27,35011.14,46.26,257602.48,190024.71,67577.77,0.00
"Great Lakes",Weekly,"2020-01-05 00:00:00",Organic,1.170000000,300121.53,6051.63,50497.61,0.00,243537.01,176156.83,67380.18,0.00
Harrisburg/Scranton,Weekly,"2020-01-26 00:00:00",Organic,1.010000000,20504.03,411.54,409.97,0.00,19682.52,19469.94,212.58,0.00
Harrisburg/Scranton,Weekly,"2020-01-19 00:00:00",Organic,0.920000000,24327.57,1043.36,426.44,0.00,22857.77,22843.31,14.46,0.00
Harrisburg/Scranton,Weekly,"2020-01-12 00:00:00",Organic,1.060000000,17591.57,533.12,289.61,0.00,16768.84,16435.84,333.00,0.00
Harrisburg/Scranton,Weekly,"2020-01-05 00:00:00",Organic,1.210000000,11579.85,582.73,372.14,0.00,10624.98,10419.84,205.14,0.00
Hartford/Springfield,Weekly,"2020-01-26 00:00:00",Organic,2.060000000,12936.58,581.36,5950.85,0.00,6404.37,6277.50,126.87,0.00
Hartford/Springfield,Weekly,"2020-01-19 00:00:00",Organic,1.820000000,16669.09,1848.86,9995.81,0.00,4824.42,4522.13,302.29,0.00
Hartford/Springfield,Weekly,"2020-01-12 00:00:00",Organic,2.040000000,12158.92,623.19,6726.40,0.00,4809.33,4725.83,83.50,0.00
Hartford/Springfield,Weekly,"2020-01-05 00:00:00",Organic,2.000000000,12614.08,588.78,7150.78,8.46,4866.06,4808.11,57.95,0.00
Houston,Weekly,"2020-01-26 00:00:00",Organic,1.610000000,11980.38,3033.17,34.94,0.00,8912.27,8912.27,0.00,0.00
Houston,Weekly,"2020-01-19 00:00:00",Organic,1.530000000,13752.43,2395.67,27.05,0.00,11329.71,11329.71,0.00,0.00
Houston,Weekly,"2020-01-12 00:00:00",Organic,1.530000000,21093.88,6518.18,26.80,0.00,14548.90,14548.90,0.00,0.00
Houston,Weekly,"2020-01-05 00:00:00",Organic,1.590000000,16699.15,10327.96,31.00,0.00,6340.19,6340.19,0.00,0.00
Indianapolis,Weekly,"2020-01-26 00:00:00",Organic,1.320000000,9568.75,252.49,810.91,0.00,8505.35,5345.85,3159.50,0.00
Indianapolis,Weekly,"2020-01-19 00:00:00",Organic,1.080000000,13658.65,260.83,1083.83,0.00,12313.99,8264.51,4049.48,0.00
Indianapolis,Weekly,"2020-01-12 00:00:00",Organic,1.130000000,11253.50,249.23,1188.12,0.00,9816.15,5430.87,4385.28,0.00
Indianapolis,Weekly,"2020-01-05 00:00:00",Organic,1.230000000,8698.99,185.29,1260.70,0.00,7253.00,2829.33,4423.67,0.00
Jacksonville,Weekly,"2020-01-26 00:00:00",Organic,1.190000000,3554.03,59.80,204.23,0.00,3290.00,3290.00,0.00,0.00
Jacksonville,Weekly,"2020-01-19 00:00:00",Organic,1.200000000,3394.66,46.63,179.88,0.00,3168.15,3141.10,27.05,0.00
Jacksonville,Weekly,"2020-01-12 00:00:00",Organic,1.200000000,3146.34,64.78,175.45,0.00,2906.11,2891.11,15.00,0.00
Jacksonville,Weekly,"2020-01-05 00:00:00",Organic,1.210000000,2794.63,54.17,175.20,0.00,2565.26,2523.33,41.93,0.00
"Las Vegas",Weekly,"2020-01-26 00:00:00",Organic,1.510000000,13529.68,1520.33,471.59,0.00,11537.76,10246.07,1291.69,0.00
"Las Vegas",Weekly,"2020-01-19 00:00:00",Organic,1.340000000,13413.17,1589.90,875.54,0.00,10947.73,10836.94,110.79,0.00
"Las Vegas",Weekly,"2020-01-12 00:00:00",Organic,1.360000000,12324.71,1319.86,470.01,0.00,10534.84,9141.19,1393.65,0.00
"Las Vegas",Weekly,"2020-01-05 00:00:00",Organic,1.300000000,16064.45,1898.51,565.45,0.00,13600.49,12031.30,1569.19,0.00
"Los Angeles",Weekly,"2020-01-26 00:00:00",Organic,1.640000000,131989.56,10736.93,1881.37,0.00,119371.26,95170.54,24200.72,0.00
"Los Angeles",Weekly,"2020-01-19 00:00:00",Organic,1.800000000,149635.06,12823.78,1999.56,1.62,134810.10,100415.81,34394.29,0.00
"Los Angeles",Weekly,"2020-01-12 00:00:00",Organic,1.780000000,151586.44,15641.55,1962.30,0.00,133982.59,98496.80,35485.79,0.00
"Los Angeles",Weekly,"2020-01-05 00:00:00",Organic,1.560000000,123537.29,13617.74,2064.03,0.00,107855.52,84073.47,23782.05,0.00
Louisville,Weekly,"2020-01-26 00:00:00",Organic,1.290000000,6063.20,0.00,677.55,0.00,5385.65,3877.31,1508.34,0.00
Louisville,Weekly,"2020-01-19 00:00:00",Organic,1.120000000,4461.15,0.00,755.47,0.00,3705.68,2069.42,1636.26,0.00
Louisville,Weekly,"2020-01-12 00:00:00",Organic,1.050000000,8423.95,0.00,968.70,0.00,7455.25,4102.97,3352.28,0.00
Louisville,Weekly,"2020-01-05 00:00:00",Organic,0.920000000,11720.86,0.00,1125.00,0.00,10595.86,7495.50,3100.36,0.00
"Miami/Ft. Lauderdale",Weekly,"2020-01-26 00:00:00",Organic,1.180000000,10938.61,674.17,0.00,0.00,10264.44,10264.44,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2020-01-19 00:00:00",Organic,1.180000000,10393.73,447.49,2.91,0.00,9943.33,9943.33,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2020-01-12 00:00:00",Organic,1.180000000,11472.65,520.85,2.91,0.00,10948.89,10948.89,0.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2020-01-05 00:00:00",Organic,1.190000000,10196.25,627.89,7.25,0.00,9561.11,9561.11,0.00,0.00
Midsouth,Weekly,"2020-01-26 00:00:00",Organic,1.390000000,219646.26,2716.73,26877.31,436.93,189615.29,166216.12,23399.17,0.00
Midsouth,Weekly,"2020-01-19 00:00:00",Organic,1.370000000,199667.06,2811.93,28829.12,477.68,167548.33,128948.07,38600.26,0.00
Midsouth,Weekly,"2020-01-12 00:00:00",Organic,1.340000000,219745.34,1021.41,29845.14,291.67,188587.12,138326.69,50260.43,0.00
Midsouth,Weekly,"2020-01-05 00:00:00",Organic,1.240000000,244521.86,770.96,28279.60,177.28,215294.02,167039.79,48254.23,0.00
Nashville,Weekly,"2020-01-26 00:00:00",Organic,1.460000000,11378.93,84.15,1016.70,0.00,10278.08,7498.33,2779.75,0.00
Nashville,Weekly,"2020-01-19 00:00:00",Organic,1.260000000,11348.07,47.44,1226.89,0.00,10073.74,5401.94,4671.80,0.00
Nashville,Weekly,"2020-01-12 00:00:00",Organic,1.220000000,18870.64,34.51,1826.84,0.00,17009.29,7822.15,9187.14,0.00
Nashville,Weekly,"2020-01-05 00:00:00",Organic,1.140000000,19720.43,76.88,1542.89,0.00,18100.66,11870.44,6230.22,0.00
"New Orleans/Mobile",Weekly,"2020-01-26 00:00:00",Organic,1.140000000,4727.08,267.08,3.00,0.00,4457.00,4457.00,0.00,0.00
"New Orleans/Mobile",Weekly,"2020-01-19 00:00:00",Organic,1.260000000,3546.16,139.31,0.00,0.00,3406.85,3406.85,0.00,0.00
"New Orleans/Mobile",Weekly,"2020-01-12 00:00:00",Organic,1.280000000,3692.22,69.79,0.00,0.00,3622.43,3622.43,0.00,0.00
"New Orleans/Mobile",Weekly,"2020-01-05 00:00:00",Organic,1.350000000,3134.52,52.94,1.00,0.00,3080.58,3080.58,0.00,0.00
"New York",Weekly,"2020-01-26 00:00:00",Organic,1.660000000,96534.17,19104.55,13504.42,122.20,63803.00,59272.40,4530.60,0.00
"New York",Weekly,"2020-01-19 00:00:00",Organic,1.390000000,137227.21,43278.39,23416.67,21.64,70510.51,65687.56,4822.95,0.00
"New York",Weekly,"2020-01-12 00:00:00",Organic,1.590000000,93522.32,25244.34,13958.89,484.33,53834.76,49162.11,4672.65,0.00
"New York",Weekly,"2020-01-05 00:00:00",Organic,1.560000000,76275.77,19319.89,12398.18,117.80,44439.90,40619.93,3819.97,0.00
Northeast,Weekly,"2020-01-26 00:00:00",Organic,1.500000000,281205.65,29320.11,29754.21,106.84,222024.49,193885.83,28138.66,0.00
Northeast,Weekly,"2020-01-19 00:00:00",Organic,1.360000000,343827.37,66207.43,51242.33,18.86,226358.75,184101.36,42257.39,0.00
Northeast,Weekly,"2020-01-12 00:00:00",Organic,1.460000000,272979.89,35520.83,33468.94,420.63,203569.49,156331.54,47237.95,0.00
Northeast,Weekly,"2020-01-05 00:00:00",Organic,1.490000000,229043.43,28509.35,30162.97,111.32,170259.79,127082.82,43176.97,0.00
"Northern New England",Weekly,"2020-01-26 00:00:00",Organic,1.450000000,26226.68,81.57,629.41,0.00,25515.70,18434.97,7080.73,0.00
"Northern New England",Weekly,"2020-01-19 00:00:00",Organic,1.570000000,22326.48,74.46,577.16,0.00,21674.86,11156.10,10518.76,0.00
"Northern New England",Weekly,"2020-01-12 00:00:00",Organic,1.500000000,27335.89,97.73,615.73,0.00,26622.43,13358.72,13263.71,0.00
"Northern New England",Weekly,"2020-01-05 00:00:00",Organic,1.560000000,23410.33,41.38,691.26,0.00,22677.69,11447.53,11230.16,0.00
Orlando,Weekly,"2020-01-26 00:00:00",Organic,1.130000000,9035.85,108.41,3.00,0.00,8924.44,8924.44,0.00,0.00
Orlando,Weekly,"2020-01-19 00:00:00",Organic,1.140000000,9255.20,175.20,0.00,0.00,9080.00,9080.00,0.00,0.00
Orlando,Weekly,"2020-01-12 00:00:00",Organic,1.130000000,9914.56,124.56,0.00,0.00,9790.00,9790.00,0.00,0.00
Orlando,Weekly,"2020-01-05 00:00:00",Organic,1.140000000,9328.25,101.58,0.00,0.00,9226.67,9226.67,0.00,0.00
Philadelphia,Weekly,"2020-01-26 00:00:00",Organic,1.360000000,35621.51,3045.18,3759.79,0.00,28816.54,25839.05,2977.49,0.00
Philadelphia,Weekly,"2020-01-19 00:00:00",Organic,1.230000000,43427.09,7616.38,6939.02,0.00,28871.69,26230.72,2640.97,0.00
Philadelphia,Weekly,"2020-01-12 00:00:00",Organic,1.370000000,32591.73,2807.76,4687.02,0.00,25096.95,21855.05,3241.90,0.00
Philadelphia,Weekly,"2020-01-05 00:00:00",Organic,1.450000000,23759.79,1978.46,3873.19,0.00,17908.14,15296.63,2611.51,0.00
Phoenix/Tucson,Weekly,"2020-01-26 00:00:00",Organic,1.440000000,24615.71,4464.07,1263.96,0.00,18887.68,16035.87,2851.81,0.00
Phoenix/Tucson,Weekly,"2020-01-19 00:00:00",Organic,1.370000000,24915.76,3075.30,2845.25,0.00,18995.21,18525.98,469.23,0.00
Phoenix/Tucson,Weekly,"2020-01-12 00:00:00",Organic,1.390000000,22069.14,2243.67,1255.16,0.00,18570.31,16459.82,2110.49,0.00
Phoenix/Tucson,Weekly,"2020-01-05 00:00:00",Organic,1.350000000,25650.70,3258.12,1267.81,0.00,21124.77,18172.48,2952.29,0.00
Pittsburgh,Weekly,"2020-01-26 00:00:00",Organic,1.140000000,15255.67,1490.84,24.63,0.00,13740.20,13740.20,0.00,0.00
Pittsburgh,Weekly,"2020-01-19 00:00:00",Organic,1.100000000,17075.66,2240.14,9.86,0.00,14825.66,14825.66,0.00,0.00
Pittsburgh,Weekly,"2020-01-12 00:00:00",Organic,1.190000000,14351.94,1757.76,8.22,0.00,12585.96,12585.96,0.00,0.00
Pittsburgh,Weekly,"2020-01-05 00:00:00",Organic,1.230000000,14095.94,1506.46,6.55,0.00,12582.93,12582.93,0.00,0.00
Plains,Weekly,"2020-01-26 00:00:00",Organic,1.390000000,61648.64,6825.09,4562.07,0.00,50261.48,42022.75,8238.73,0.00
Plains,Weekly,"2020-01-19 00:00:00",Organic,1.210000000,91341.04,31250.69,5250.24,25.84,54814.27,45428.57,9385.70,0.00
Plains,Weekly,"2020-01-12 00:00:00",Organic,1.290000000,61166.56,4851.98,5445.32,12.95,50856.31,42508.35,8347.96,0.00
